clean_text,label
change new blue uniforms ordered president uhuru kenyatta september par,0
these corrupt politicians rigged the 2022 elections,1
think safe say president uhuru kenyatta amepatia justice martha koome cj,0
president uhuru kenyatta bribed mcas mpigs senators crucifying dp ruto sinning differently,0
sayingpresident uhuru kenyatta finish ago mt kenya new kingpins w,0
david murathe kemsa thief president uhuru kenyattas advisor together rafael tuju get ready,1
kenyan senate despite several elites still lacks consistency comes matters handthe propos,0
somebody tell cs peter munya die ready see dp ruto th president kenyapre,1
icc called mr kenyatta recognize excellency kenya court called mr uhuru hes president,0
leaders urged residents central region economic bloc cereb stay united behind excellency presid,0
three leaders horn africa president republic somaliland muse bihi abdi president republic dj,0
president uhuru kenyatta considered kisii county machine governor grateful,0
someone help answer uhuru kenyatta kenyan uhuru kenyatta president kenya,0
latest move shows president uhuru kenyattas commitment ensuring unemployment levels country dro,0
u done today president uhuru kenyatta nice good may god bless u ur f,0
president uhuru kenyatta considered kisii county machine governor grateful,0
called using cruise control well played president uhuru kenyatta,0
pcr machine procured national government world bank funding seventeen facilities,0
sitting president addressed excellency honourable uhuru muigai ken,0
lawyers warned high courts finding president uhuru kenyatta breached constitution initia,0
big thank president uhuru kenyatta great frican leader keep spirit future bright,0
nice good work u done today president uhuru kenyatta may god bless u ur,0
latest move shows president uhuru kenyattas commitment ensuring unemployment levels country dro,0
latest move shows president uhuru kenyattas commitment ensuring unemployment levels country dro,0
sympathisers sponsored court case whose judgement co,0
prime minsiter president uhuru kenyatta two leaders met,0
join first may global leaders like president uhuru kenyatt,0
president muse biihi president uhuru kenyatta inauguration ceremony djibouti,0
somaliland president counter parts uhuru kenyatta,0
somalia pm mohamed roble meets kenya president uhuru kenyatta sidelines swearing ceremon,0
president uhuru kenyatta prime minister lucheon inaugura,0
president muse biihi somaliland kenyas president uhuru kenyatta spotted inauguration cere,0
scathing ruling five high court judges kenya blocked governmentbacked plan make fundamental cha,0
president uhuru kenyatta earlier today arrived djibouti president guellehs inauguration,0
even icc called mr uhuru muigai kenyatta president,1
want advise uhuru kenyatta knows super senetor must advisor president,1
president uhuru kenyatta prime minister lucheon inaugura,0
francis atwoli implores president uhuru kenyatta crush judges stopped reggae sinful judicial,0
somali pm mohamed hussein roble president uhuru kenyatta inauguration president,0
president kenyatta attends guellehs inauguration djibouti president uhuru kenyatta saturday among sever,0
yes hes mr uhuru kenyatta mbicoz one wanted rape katiba shameful call president,0
joined jkuat undertake engineering course joined sometime went state h,0
eminent impeachment president failed chapter took oath protectthis w,0
national honors reserved outstanding kenyans dear president uhuru kenyatta wanjuk,0
president somaliland djibouti president president uhuru kenyatta walking,1
like photo president muse bihi alongside fellow heads state ismail geelle djibouti amp uhuru kenyatta,0
favorite president uhuru since got power success achieved brookside officially,0
horn africas diplomacy action head states republic somaliland republic kenya,0
president uhuru kenyatta joins dignitaries among several visiting heads state presidential palace,0
kenyans cannot see appreciate president uhuru kenyattas milestone achievements still blind dum,0
hague icc judges addressed president uhuru kenyatta mr kenyatta deemed okay,0
president uhuru kenyatta arrived djibouti inauguration president,1
love president uhuru kenyatta,0
slaves offended president referred,1
president uhuru kenyatta egh cicdfk self soul searching sworn c,1
president uhuru kenyatta today arrived djibouti attend inauguration countrys president ismail oma,0
may kenyans wake support president uhuru kenyatta build dams control flooding avoidable losses,1
lets us praise much job opportunity youth uhuru kenyatta done kn,0
president uhuru kenyatta grade pupils given laptops pupils laptops,0
legacy president uhuru kenyatta leave curfew lockdown nothing,0
president uhuru kenyatta today arrived djibouti inauguration president ismail omar guelleh,0
president muse bihii uhuru kenyatta join foreign leaders djibouti presidential inauguration,0
week return play guidelines president uhuru kenyatta allowed sport resume may,0
somaliland president middle kenya president uhuru kenyatta right accompany djibouti president,0
president uhuru kenyatta fixing roads main arteries economy pulses,0
uhuru kenyatta decided pay bloggers hii ni voluntary worka president doesnt care wanjiku su,0
photos president ismail omar guelleh sworn fifth term office today ceremon,0
president uhuru kenyatta confirmed appointment justice william ouko judge supreme court k,0
president uhuru kenyatta sent message condolence family relatives friends public service commis,0
president republic president uhuru kenyatta joined africa,0
president uhuru kenyatta put together best legal brains camp,1
president uhuru kenyatta swearing ceremony djabouti,0
djibouti minute country size former western province certain tyrant called guelleh ema,0
president somaliland join president uhuru kenyatta inauguration djibouti president,0
high court judges made ruling bbi bill ones president uhuru kenyatta refused appo,0
president uhuru kenyatta arrived djibouti capital city republic djibouti president kenyatta,0
president uhuru kenyatta famed remembered kms roads sgr revamping railways ne,0
president uhuru kenyatta arrived djibouti capital city republic djibouti attend inaug,0
lawyer kamotho waiganjo husband kirinyaga governor anne waiguru warned president uhuru kenyatta agains,0
president uhuru kenyatta arrived djibouti earlier today inauguration president ismail omar gulleh,0
several african leaders currently djibouti attend witness inauguration countrys presiden,0
true statesmen hof matching shoulder shoulder ismail omer geel preside,1
president uhuru kenyatta honorable thing dissolve parliament let fellows look fresh mandate,0
gazzettements alienated uhuru kenyatta person uhuru kenyatta president,0
president uhuru kenyatta landed djibouti ahead counterpart president ismail omar guellehs inaugurat,0
president joined president uhuru kenyatta inauguration president,0
president uhuru kenyatta uniting east african countries let us embrace peace live brothers sisters,0
hi professor help understand initiators town hall meeting verses public participation uhuru ken,0
horn africa president republic h e president republic,0
activist wants president uhuru kenyatta impeached,1
theres kenyatta person kenyatta office holder judges clear could prose,0
theyre absolutely order mr uhuru kenyatta sued president thats,0
president uhuru kenyatta terms court verdict okay people respect rul,0
president uhuru kenyatta overworking uniting africa since,0
president uhuru kenyatta means business time work politics,0
may agree mr uhuru kenyattabut love president good work,0
lawyer charles kanjama stated president uhuru kenyatta impeached unless ruling,0
pandemic stop president uhuru kenyatta working,0
uhuru kenyatta attends inauguration president ismail omar guelleh read,0
update laikipia residents condemn high court disrespecting president uhuru kenyatta usurping power,0
president uhuru kenyatta joins dignitaries among several visiting heads state djiboutians wal,0
nms kazi mtaani sgr express way mau mau road kisumu port kenol marwa road redhill link road nairobinany,0
course shot presidential guards trying enter state house attack president uhuru kenyatt,0
proponents bbi defended president uhuru kenyatta court ruling declared process unconst,0
