text,label
Let's unite and build a better Kenya together.,0
Kenya belongs to all of us. Say no to division!,0
Vote wisely and maintain peace!,0
The only solution is to wipe out all Luos.,1
Kalonzo Musyoka has promised to improve education in Kenya.,0
The youth are the future of Kenya — let's support them!,0
The youth are the future of Kenya — let's support them!,0
Kalenjins are the cancer of Kenya.,1
Never trust a Luhya — they are all liars.,1
Building more schools and hospitals is the real agenda.,0
We need policies that empower women and youth.,0
Raila Odinga speaks hope for Kenya's future in 2027.,0
Building more schools and hospitals is the real agenda.,0
Uhuru Kenyatta campaigns for better healthcare across Kenya.,0
Raila Odinga has promised to improve education in Kenya.,0
Musalia Mudavadi speaks hope for Kenya's future in 2027.,0
Expel all Kalenjins from Nairobi!,1
We don't need Kamba monkeys in government.,1
Martha Karua speaks hope for Kenya's future in 2027.,0
Eliminate all Luos before elections!,1
We need policies that empower women and youth.,0
Musalia Mudavadi speaks hope for Kenya's future in 2027.,0
Luhyas are thieves and should never lead again.,1
Expel all Luos from Nairobi!,1
We need policies that empower women and youth.,0
Kenya belongs to all of us. Say no to division!,0
We need policies that empower women and youth.,0
Martha Karua speaks hope for Kenya's future in 2027.,0
Luos are the cancer of Kenya.,1
The youth are the future of Kenya — let's support them!,0
Martha Karua has promised to improve education in Kenya.,0
William Ruto has promised to improve education in Kenya.,0
Building more schools and hospitals is the real agenda.,0
Kalonzo Musyoka speaks hope for Kenya's future in 2027.,0
Never trust a Kalenjin — they are all liars.,1
Vote wisely and maintain peace!,0
Musalia Mudavadi speaks hope for Kenya's future in 2027.,0
Uhuru Kenyatta speaks hope for Kenya's future in 2027.,0
Kenya belongs to all of us. Say no to division!,0
William Ruto has promised to improve education in Kenya.,0
Let's unite and build a better Kenya together.,0
Uhuru Kenyatta campaigns for better healthcare across Kenya.,0
Building more schools and hospitals is the real agenda.,0
Building more schools and hospitals is the real agenda.,0
Raila Odinga speaks hope for Kenya's future in 2027.,0
Kill all Kambas! They are ruining Kenya.,1
William Ruto speaks hope for Kenya's future in 2027.,0
Eliminate all Kambas before elections!,1
Martha Karua campaigns for better healthcare across Kenya.,0
William Ruto has promised to improve education in Kenya.,0
We need policies that empower women and youth.,0
Building more schools and hospitals is the real agenda.,0
The youth are the future of Kenya — let's support them!,0
Vote wisely and maintain peace!,0
William Ruto campaigns for better healthcare across Kenya.,0
The only solution is to wipe out all Luhyas.,1
Peaceful elections are key to our democracy.,0
Kenya belongs to all of us. Say no to division!,0
Let's unite and build a better Kenya together.,0
Peaceful elections are key to our democracy.,0
We need policies that empower women and youth.,0
The youth are the future of Kenya — let's support them!,0
Uhuru Kenyatta speaks hope for Kenya's future in 2027.,0
The only solution is to wipe out all Kalenjins.,1
The youth are the future of Kenya — let's support them!,0
Vote wisely and maintain peace!,0
Peaceful elections are key to our democracy.,0
Vote wisely and maintain peace!,0
Peaceful elections are key to our democracy.,0
The youth are the future of Kenya — let's support them!,0
Vote wisely and maintain peace!,0
