claim_text,source,link
Claim: Raila Odinga has been appointed to a public position without proper vetting.,AfricaCheck,https://africacheck.org/42098
Viral tweet falsely claims Martha Karua is stepping down from office.,PesaCheck,https://pesacheck.org/98696
Misinformation that David Ndii has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/14165
Misinformation that William Ruto has abolished taxes on essentials.,PesaCheck,https://pesacheck.org/40495
Anonymous blog post links David Ndii to a foreign interference scandal.,PesaCheck,https://pesacheck.org/83563
Hoax report says Martha Karua rejected the election results.,AfricaCheck,https://africacheck.org/38893
Anonymous blog post links Ndindi Nyoro to a foreign interference scandal.,AfricaCheck,https://africacheck.org/10851
Claim circulating that Uhuru Kenyatta cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/46421
Social media post states Uhuru Kenyatta funds opposition campaigns.,AfricaCheck,https://africacheck.org/23396
Claim circulating that Raila Odinga cancelled HELB loans permanently.,PesaCheck,https://pesacheck.org/57052
Anonymous blog post links Kalonzo Musyoka to a foreign interference scandal.,AfricaCheck,https://africacheck.org/15695
Hoax report says Ndindi Nyoro rejected the election results.,PesaCheck,https://pesacheck.org/59615
Hoax report says Raila Odinga rejected the election results.,AfricaCheck,https://africacheck.org/92397
Fake image claims Rigathi Gachagua supports unconstitutional laws.,PesaCheck,https://pesacheck.org/19116
Social media post states William Ruto funds opposition campaigns.,AfricaCheck,https://africacheck.org/20458
Misinformation that Martha Karua has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/46434
Fake image claims Ndindi Nyoro supports unconstitutional laws.,PesaCheck,https://pesacheck.org/58520
Social media post states Kalonzo Musyoka funds opposition campaigns.,AfricaCheck,https://africacheck.org/99593
Anonymous blog post links Raila Odinga to a foreign interference scandal.,PesaCheck,https://pesacheck.org/80010
Viral tweet falsely claims Martha Karua is stepping down from office.,AfricaCheck,https://africacheck.org/59735
Hoax report says Musalia Mudavadi rejected the election results.,PesaCheck,https://pesacheck.org/99733
Claim: Kalonzo Musyoka has been appointed to a public position without proper vetting.,PesaCheck,https://pesacheck.org/14207
Claim circulating that Kalonzo Musyoka cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/18675
Anonymous blog post links Martha Karua to a foreign interference scandal.,AfricaCheck,https://africacheck.org/37869
Claim circulating that Ndindi Nyoro cancelled HELB loans permanently.,AfricaCheck,https://africacheck.org/28726
Viral tweet falsely claims Musalia Mudavadi is stepping down from office.,PesaCheck,https://pesacheck.org/83579
Rumor that David Ndii is behind tribal clashes in rural areas.,AfricaCheck,https://africacheck.org/86484
Fake image claims Gachagua supports unconstitutional laws.,PesaCheck,https://pesacheck.org/28131
False statement that David Ndii introduced a 40% tax on mobile money.,PesaCheck,https://pesacheck.org/16175
Viral tweet falsely claims Raila Odinga is stepping down from office.,PesaCheck,https://pesacheck.org/99192
Anonymous blog post links Gachagua to a foreign interference scandal.,PesaCheck,https://pesacheck.org/60432
Anonymous blog post links Gachagua to a foreign interference scandal.,AfricaCheck,https://africacheck.org/79352
Hoax report says Musalia Mudavadi rejected the election results.,PesaCheck,https://pesacheck.org/99166
Hoax report says Raila Odinga rejected the election results.,AfricaCheck,https://africacheck.org/94012
Misinformation that Kalonzo Musyoka has abolished taxes on essentials.,AfricaCheck,https://africacheck.org/66985
